	CTR19A_CD140a	CTR19B_CD140a	CTR19C_CD140a	CTR19F_CD140a	HD20C_CD140a	HD20D_CD140a	HD20E_CD140a	HD20F_CD140a	HD20G_CD140a
ENSG00000225559	3.79	0	0.65	2.1	0.35	0.4	0	0	0.23
ENSG00000225560	0	0	0	0	0	0.32	0	0	0
ENSG00000225561	0	0	0	0	0	0	0	0	0
ENSG00000225563	0	0	0	0	0	0	0	0	0
ENSG00000225564	0	0	0.06	0	0	0	0	0	0
ENSG00000225568	0	0	0	0.18	0	0	0	0.1	0.06
ENSG00000225569	0	0	0	0.22	0	0.2	0	0	0.03
ENSG00000225570	0	0	0	0	0	0	0	0	0
ENSG00000225572	0.09	0	0.05	0.09	0	0	0	0.02	0.02
ENSG00000225573	2.36	3.05	3.07	0.77	2.13	1.88	1.53	1.3	1.19
ENSG00000225574	0	0	0	0	0	0	0	0	0
ENSG00000225578	2.68	0	1.04	1.1	0.88	2.34	2.65	0.08	1.59
ENSG00000225579	0.42	0	0	0.09	0	0	0	0	0.41
ENSG00000225580	1.42	0.63	0.56	0.68	0.99	1.26	1.36	1.42	0.92
ENSG00000225581	0	0	0	0	0	0	0	0	0
ENSG00000225582	0	0	0	0	0	0	0	0	0
ENSG00000225583	0	0	0	0	0	0.63	0	0	0
ENSG00000225585	0	0	0	0	0	0	0	0	0
ENSG00000225588	0	0	0	0	0	0	1.21	0	0
ENSG00000225591	0	0	0.74	0	0	0	0	0.23	0
ENSG00000225594	0	0	0	0	0	0	0	0.1	0
ENSG00000225595	0	0	0.05	0.02	0.16	0.37	0.08	0.14	0.02
ENSG00000225598	0	0	0	0	0	0	0	0	0
ENSG00000225602	0.24	0	0.61	0.17	0	0.28	0.35	0	0.15
ENSG00000225603	0.27	0.25	0.08	0.09	0.17	0.09	0.06	0.07	0.05
ENSG00000225605	0	0.47	0	0	0	0	0	0	0
ENSG00000225606	0	0	0	0	0	0	0	0	0
ENSG00000225609	0	0	0	0	0	0	0	0	0
ENSG00000225610	0	0.26	0	0.29	0.23	0	0.43	0.14	0.39
ENSG00000225611	0	0	0	0	0	0.18	0	0	0.05
ENSG00000225612	0	0	0	0	0	0	0	0	0
ENSG00000225613	0	0	0	0	0	0	0	0	0
ENSG00000225614	8.78	1.44	1.43	9.82	0.07	0.09	0.2	0.05	0.03
ENSG00000225615	0	0	0	0	0	0	0	0	0
ENSG00000225616	0	0	0	0	0	0	0.4	0	0
ENSG00000225619	0.31	0	0	0.01	0	0.05	0.03	0.02	0.03
ENSG00000225620	0	0	0	0	0	0	0.35	0	0
ENSG00000225622	0	0	0	0	0	0	0	0	0
ENSG00000225623	0	0	0	0	0	0	0	0	0
ENSG00000225624	0	0	0	0	0	0	0	0	0
ENSG00000225625	0	0	0	0	0	0	0	0	0
ENSG00000225626	0.24	0	0.47	0	0.37	0	0.24	0	0.08
ENSG00000225630	595.96	807.89	700.33	953.29	527.01	590.9	455.7	196.13	661.19
ENSG00000225632	0	0	0	0.13	0	0	0	0.04	0
ENSG00000225636	0	0	0	0.43	0.41	0	0	0	0.31
ENSG00000225637	0	0	0	0	0	0	0	0	0
ENSG00000225638	0	0	0	0	0	0	0	0	0
ENSG00000225639	0	0	0	0	0	0	0	0	0
ENSG00000225640	0	0	0	0	0	0	0	0	0
ENSG00000225642	0	0	0	0	0	0	0	0	0
ENSG00000225643	0	0	0.3	0.12	0	0.38	0.74	0.19	0
ENSG00000225644	0	0	0	0	0	0	0	0	0
ENSG00000225647	0	0	0	0.16	0	0	0	0.07	0.36
ENSG00000225648	38.45	15.3	18.33	30.46	23.94	21.19	25.75	20.84	17.12
ENSG00000225649	0.23	0.46	1.06	0.73	0	0.31	0.1	0.09	0.07
ENSG00000225650	0	0	0	0	0	0	0	0	0
ENSG00000225652	0	0	0	0	0	0	0	0	0
ENSG00000225653	0	0	0	0	0	0	0	0	0
ENSG00000225655	0.96	0	0	0.1	0	0	0.65	0	0.14
ENSG00000225656	0	0	0	0	0	0	0	0	0
ENSG00000225657	0	0	0	0	0	0	0	0	0
ENSG00000225658	0	0	0	0	0	0	0	0	0
ENSG00000225660	0	0	0	0	0	0	0	0	0
ENSG00000225661	0	0	0	0	0	0	0	0	0
ENSG00000225662	0	0	0	0	0	0	0	0	0
ENSG00000225663	122.7	156.4	169.45	88.41	157.13	131.44	104.69	168.16	75.44
ENSG00000225664	0	0	0	0	0	0	0	0	0
ENSG00000225665	0	0	0	0	0	0	0	0	0
ENSG00000225669	0	0	0	0	0	0	0	0	0
ENSG00000225670	11.02	1.96	8.25	10.06	10.82	7.1	2.26	2.14	7.35
ENSG00000225671	0	0	0	0	0	0	0	0	0
ENSG00000225672	0	0	0	0	0	0	0	0	0
ENSG00000225673	0	0	0.24	0	0	0	0	0	0
ENSG00000225674	0.34	0.25	0.45	0.45	0.06	0.55	0.3	0.77	0.48
ENSG00000225675	0.67	0.28	0	0.47	0	0	0	0	0
ENSG00000225676	0	0	0	0	0	0	0	0	0
ENSG00000225678	0	0	0	0	0	0	0	0	0
ENSG00000225680	0	0	0	0	0	0	0	0	0
ENSG00000225681	0	0	0	0.18	0	0	0	0	0
ENSG00000225683	0.65	0.23	0.1	0.84	0.15	0	0.08	0	0
ENSG00000225684	0.01	0	0.01	0	0	0.01	0.01	0.01	0
ENSG00000225685	0	0	0	0	0	0	0	0	0
ENSG00000225689	0	0	0	0	1.33	0	0.25	0	0
ENSG00000225690	0	0	0	0	0	0	0	0	0
ENSG00000225693	1.63	1.02	0.3	0.46	0	0.38	1.22	0.67	0.32
ENSG00000225695	1.38	0.66	0.59	0.86	1.79	1.31	2.32	1.73	1.12
ENSG00000225697	13.82	28.37	20.73	14.77	29.62	16.7	21.6	2.61	16.16
ENSG00000225698	0	0	0	0	0	0	0	0	0
ENSG00000225701	0	0	0	0	0	0	0	0	0
ENSG00000225703	0	0	0	0.42	0	0	0.27	0	0
ENSG00000225705	0	0	0	0.06	0	0	0	0	0
ENSG00000225706	2.86	0.4	1.21	2.31	0.62	1.47	1.35	2.08	0.81
ENSG00000225708	0	0	0	0	0	0	0	0	0
ENSG00000225710	0	0	0	0	0.18	0	0	0	0
ENSG00000225711	0	0	0	0.14	0	0	0	0	0
ENSG00000225712	0	0	0	0	0	0	0	0	0
ENSG00000225713	0	0	0	0	0	0	0	0	0
ENSG00000225715	0	0	0.17	0.2	0	0	0.28	0	0.18
ENSG00000225716	0	0	0	0	0	0	0	0	0
ENSG00000225718	0	0	0	0	0	0	0	0	0
ENSG00000225719	0	0	0	0	0	0	0	0	0
ENSG00000225720	0	0	0	0	0	0	0	0	0
ENSG00000225721	0.97	0.6	1.04	0.51	1.39	1.03	1.35	0.71	1.11
ENSG00000225722	0	0	0	0	0	0	0	0	0
ENSG00000225723	0	0	0	0	0	0	0	0	0
ENSG00000225724	0.07	0.26	0.23	0.09	0.42	0	0.06	0	0.32
ENSG00000225725	0.8	0.86	0.21	0.72	0.07	0.08	0.19	0.08	0.17
ENSG00000225726	0.54	0	0.9	0.46	0	0	0	0.09	0.32
ENSG00000225727	0.15	0.18	0.66	0.44	0.36	0	0.27	0.16	0.23
ENSG00000225728	0	0	0	0	0	0	0	0	0
ENSG00000225730	0	0	0	0	0	0	0	0	0
ENSG00000225731	0	0	0.36	0.22	0	0.18	0.12	0.07	0.05
ENSG00000225733	148.71	75.93	87.23	106.81	101.3	108.25	138.9	181.01	122.09
ENSG00000225735	0	0	0	0	0	0	0	0	0
ENSG00000225738	0	0	0	0	0	0	0	0	0
ENSG00000225739	0	0	0	0.21	0	0	0	0	0
ENSG00000225740	0	0	0	0	0	0	0	0	0
ENSG00000225741	0	0	0	0	0	0	0	0	0
ENSG00000225742	0.13	0.49	0	0	0	0	0	0	0.3
ENSG00000225744	0	0	0	0.06	0	0	0	0	0
ENSG00000225746	0.63	2.21	2.28	0.04	0	0	0	0	0.02
ENSG00000225750	0	0	0.64	0	0	0	0	0	0
ENSG00000225751	0	0	0.19	0	0	0.24	0	0.06	0
ENSG00000225752	0	0	0	0.12	0	0	0	0	0
ENSG00000225755	0	0	0	0.04	0	0	0	0	0
ENSG00000225756	0.88	0.39	0.52	0.66	0.69	0.65	0.23	0.11	0.91
ENSG00000225758	0	0	0	0	0	0	0	0	0
ENSG00000225759	0	0	0	0	0	0	0	0	0
ENSG00000225760	27.62	19.72	15.82	11.95	15.82	44.69	11.83	10.32	18.59
ENSG00000225761	0	0	0	0.65	0.37	0	0.82	0	0
ENSG00000225762	0.54	0.34	0.3	0.46	0.99	0.38	0.98	0.1	0.53
ENSG00000225764	0	0	0	0	0	0	0	0	0
ENSG00000225765	0	0	0	0	0	0.74	0.96	0	0.31
ENSG00000225766	0	0.36	0	0	0	0.37	0	0.06	0.45
ENSG00000225767	0	0	0	0.22	0	0.36	0	0	0
ENSG00000225768	0	0	0.64	0.19	0	0	0	0	0
ENSG00000225769	0	0	0	0.01	0	0	0	0	0.01
ENSG00000225770	0	1.62	4.24	0.6	0	0	0	0	0
ENSG00000225774	0.25	0.24	0.64	0.61	0.94	0.45	1.16	1.46	0.69
ENSG00000225775	0	0	0	0.08	0	0	0	0	0
ENSG00000225777	0	0	0.11	0	0	0	0	0	0
ENSG00000225778	0.03	0	0	0.01	0	0	0.03	0.01	0
ENSG00000225779	0	0	0	0.49	0	0	0.35	0	0.75
ENSG00000225781	0	0	0	0.05	0	0	0	0	0
ENSG00000225783	162.51	191.1	136.19	174.16	286.65	305.16	208.04	10.77	331.29
ENSG00000225785	0	0	0	0	0	0	0	0	0
ENSG00000225787	0	0	0	0	0	0	0.46	0.35	0.2
ENSG00000225790	0	0	0	0	0	0	0	0	0
ENSG00000225791	7.01	6.15	6.46	7.92	7.14	6.4	8.77	8.32	6.22
ENSG00000225792	141.95	22.81	15.53	50.75	2.49	1.71	3.77	3.98	1.56
ENSG00000225793	0.65	1.13	0.36	1.21	0.67	2.21	1.39	0.93	1.13
ENSG00000225794	0	0	0.21	0	0	0	0.17	0	0.07
ENSG00000225795	0	0	0	0	0	0	0	0	0
ENSG00000225796	0	0	0	0	0	0	0	0	0
ENSG00000225797	0	0	0	0	0	0	0	0	0
ENSG00000225798	1.1	0.91	0.41	0.47	0.89	0	0.99	0	1.58
ENSG00000225801	0	0	0	0	0	0	0	0	0
ENSG00000225802	0	0	0	0	0	0	0	0	0
ENSG00000225803	0	0	0	0	0	0	0	0	0
ENSG00000225805	0	0	6.06	0.03	0	2.47	0	0	0
ENSG00000225806	2.81	1.37	0.92	2.15	2.91	3.32	4.88	1.19	6.14
ENSG00000225807	0	0	0	0	0	0	0.2	0	0
ENSG00000225808	3.34	8.92	1.06	5.28	2.9	4.63	1.29	1.35	6.01
ENSG00000225809	0	0	0	0	0	0	0	0	0
ENSG00000225811	0.22	0	0	0.29	0	0	0	0.08	0
ENSG00000225813	0.34	0	0	0	0	0	0	0	0
ENSG00000225814	0	0	0	0	0	0	0.14	0.06	0
ENSG00000225815	0	0	0	0	0	0	0	0	0.09
ENSG00000225816	0	0	0	0	0	0	0	0	0
ENSG00000225818	0	0	0	0	0	0	0	0	0
ENSG00000225819	0	0	0	0	0	0	0	0	0
ENSG00000225822	0	0	0	0.15	0	0.5	0	0.26	0
ENSG00000225823	0	0	0	0	0	0	0	0	0
ENSG00000225825	0	0	0	0	0	0	0	0	0
ENSG00000225826	0	0	0	0.05	0.9	0	0.33	0	0.1
ENSG00000225827	0	0	0	0	0	0	0	0	0
ENSG00000225828	11.83	15.9	12.39	4.82	15.26	19.93	12.61	2.11	14.1
ENSG00000225830	10.92	7.92	7.42	12.92	7.03	8.6	9.32	8.13	10.77
ENSG00000225831	0	0	0	0	0.35	0.4	0.26	0	0
ENSG00000225832	0	0	0	0	0	0	0	0	0
ENSG00000225833	0	0	0	0	0	0	0	0	0
ENSG00000225836	0	0	0	0	0	0	0	0	0
ENSG00000225839	0	0	0	0	0	1.32	0	0	0
ENSG00000225840	0	0.15	0.14	0.15	0	0.08	0	0.51	0.02
ENSG00000225842	0	0	0	0	0	0	0	0	0
ENSG00000225843	0	0	0	0	0	0	0	0	0
ENSG00000225846	0	0	0	0	0	0	0	0	0
ENSG00000225849	1.19	3.02	2.28	2.89	3.77	5.03	2.89	0.58	4.35
ENSG00000225850	0	0	0.33	0	0	0.21	0.13	0.05	0
ENSG00000225851	0	0	0	0	0	0	0	0	0
ENSG00000225854	0	0	0	0.18	0	0	0	0	0
ENSG00000225855	14.78	26.94	18.16	12.95	25.19	20.94	19.15	3.43	26.24
ENSG00000225856	0	0	0	0	0	0	0	0	0
ENSG00000225857	0	0.29	0.26	0.1	0	0	0.85	0.11	0
ENSG00000225858	0	0	0	0	0	0	0	0	0
ENSG00000225864	0	1.02	0.4	0.11	0.64	0	0	0	0.22
ENSG00000225867	0.52	0	0	0.33	0	0	0.24	0	0
ENSG00000225868	0.5	0.29	1.01	1.13	2.1	2.12	2.26	0.78	2.12
ENSG00000225869	0	0	0	0	0	0	0	0.15	0
ENSG00000225870	0	0	0.21	0.16	0	0	0	0.07	0.37
ENSG00000225871	0.56	0.75	0.53	0.83	0.33	1.13	0.78	0.39	0.61
ENSG00000225872	2.64	5.24	2.51	3.37	8.33	5.76	4.83	0.82	5.74
ENSG00000225873	0	0.66	0	0.15	0	0.17	0	0.04	0.07
ENSG00000225876	0	0	0	0	0	0	0	0	0
ENSG00000225877	0	0	0	0	0	0	0	0	0
ENSG00000225878	0	0	0	0	0	0	0	0	0
ENSG00000225879	0	0	0	0	0	0	0	0	0
ENSG00000225880	1.44	1.43	1.78	1.48	1	1.34	1.7	0.59	0.65
ENSG00000225881	0	0	0	0	0	0	0	0	0
ENSG00000225882	0.17	1.72	1.54	0.66	1.89	1.68	0.62	0.42	2.16
ENSG00000225883	3.99	2.83	3.68	2.73	1.02	1.37	0.47	0.35	1.07
ENSG00000225884	0	0	0	0	0	0	0	0	0
ENSG00000225885	0	0	0.31	0.2	0.75	0.21	0	0.05	0.06
ENSG00000225886	0	0	0	0.34	0.65	1.12	0	0	0.11
ENSG00000225889	11.97	20.38	11.46	11.19	19.85	28.29	19.24	2.25	24.53
ENSG00000225891	0.24	0	0	0.62	0.89	1.35	0.66	0.17	1.43
ENSG00000225893	0	0	0	0.07	0	0	0.15	0	0.07
ENSG00000225895	0	0	0	0	0	0	0	0	0
ENSG00000225896	0	0	0	0	0	0	0	0	0
ENSG00000225898	0	0	0	0	0	0	0	0	0
ENSG00000225899	0	0	0	0	0	0	0	0	0
ENSG00000225900	0	0	0	0.22	0	0	0	0	0.41
ENSG00000225901	0	0	0	0	0	0	0	0	0.05
ENSG00000225903	0	0	0	0	0	0	0	0	0
ENSG00000225904	0	0	0	0	0	0	0	0	0
ENSG00000225905	0	0	0	0.3	0.86	0	0.64	0	0.92
ENSG00000225906	0	0	0	0	0	0	0	0	0
ENSG00000225907	0	0	0	0	0	0	0	0	0
ENSG00000225911	0	0	0	0	0	0	0	0	0
ENSG00000225912	0.72	1.78	0.86	0.46	0	0.51	0.65	1.31	0.54
ENSG00000225913	0	0	0	0.11	0	0	0	0.19	0
ENSG00000225914	0.6	0.25	0	1.63	0.35	0.43	0.18	0.36	0.38
ENSG00000225916	0	0	0	0	0	0	0.42	0.08	0
ENSG00000225918	0	0	0	0	0	0	0	0	0
ENSG00000225919	0	0	0	0	0	0	0	0	0
ENSG00000225920	2.46	2.36	0.84	2.32	2.99	0.53	1.88	0.2	2.07
ENSG00000225921	63.91	57.08	58.4	54.15	58.09	53.39	60.1	56.08	58.29
ENSG00000225922	0.55	0	0	0	0	0	0	0	0
ENSG00000225923	0	0	0	0	0	0	0	0	0
ENSG00000225924	0	0	0	0.26	0	0	0.19	0	0
ENSG00000225925	0	0	0	0	0	0	0	0	0
ENSG00000225928	0	0	0	0.15	0.22	0	0.16	0.06	0
ENSG00000225929	0	0.14	0	0.14	0	0	0	0	0.13
ENSG00000225930	0.47	1.85	1.01	0.75	5.03	3.15	2.12	1.58	3.85
ENSG00000225931	0	0.11	0	0.04	0	0	0.08	0.03	0
ENSG00000225932	0	0	0	0	0	0	0	0	0
ENSG00000225933	0	0	0	0	0	0	0	0	0
ENSG00000225934	0	0	0	0	0	0	0	0.06	0
ENSG00000225935	0	0	0	0	0	0	0.58	0	0
ENSG00000225936	0	0	0	0	0	0	0	0	0
ENSG00000225937	1.25	0.1	0.69	0.42	0.1	0.27	0.44	0.13	0.08
ENSG00000225938	0.34	0	0	0	0	0	0.31	1.09	0
ENSG00000225940	0	0.51	0.53	0.07	0	0	0	0.06	0
ENSG00000225942	0	0	0	0	0	0	0	0	0
ENSG00000225943	0	0	0	0	0	0	0	0	0
ENSG00000225944	0	0.28	0	0	0	0	0	0	0
ENSG00000225945	0.65	0.41	0	0.28	0.4	0	0.59	0	0.51
ENSG00000225947	0	0	0	0	0	0	0	0	0
ENSG00000225948	0	0	0	0	0	0	0	0	0
ENSG00000225949	0	0	0	0	0	0	0	0	0
ENSG00000225950	0	0	0.14	0.33	0	0.53	0	0.2	0.2
ENSG00000225951	1.38	0.43	1.14	3.02	2.06	3.32	0.92	0.12	2.54
ENSG00000225952	0	0	0	0	0	0	0	0	0
ENSG00000225953	0.07	0	1.28	0.13	0.68	0	0.2	0.19	0.1
ENSG00000225956	0	0	0	0	0	0	0	0	0
ENSG00000225957	0	0	0	0	0	0	0	0	0
ENSG00000225959	0	0	0	0	0	0	0	0	0
ENSG00000225960	0	0	0	0	0	0	0	0	0
ENSG00000225963	0.08	0.83	1.14	0.63	1.32	0.75	2.07	0.07	0.44
ENSG00000225964	0.15	0.73	0.29	0.17	0.31	0	0	0	0.66
ENSG00000225965	1.24	0	0	0.4	0	0	0.83	0.37	0.23
ENSG00000225968	19.43	7.07	8.2	9.53	10.69	3.5	3.6	5.69	2.08
ENSG00000225969	0	0	0	0.17	0	0	0.36	0.07	0.15
ENSG00000225970	0	0	0	0	0	0	0	0	0
ENSG00000225971	0	0	0	0	0	0	0	0	0
ENSG00000225972	137.84	221.54	213.28	227.33	123.18	132.32	123.69	49.13	197.83
ENSG00000225973	15.23	15.32	20.46	17.57	20.22	15.43	23.88	16.59	19.59
ENSG00000225974	0	0	0	0.41	0	0	0	0	0
ENSG00000225975	3.41	2.58	2.12	4.08	2.15	3.9	2.42	0.72	1.55
ENSG00000225976	3.03	0	0	0	16.77	0	10.53	7.74	3.83
ENSG00000225978	0.3	0.96	0.46	0.45	0.58	1.4	0.11	0.21	0.35
ENSG00000225979	0	0	0	0	0	0	0	0	0
ENSG00000225980	0	0	0	0	0	0	0	0	0
ENSG00000225981	0	0	0.29	0.22	0	0.36	0	0	0
ENSG00000225982	0	0	0	0	0	0	0	0	0
ENSG00000225984	0	0	0	0	0	0	0	0	0
ENSG00000225986	0.25	0	0.28	0.11	0	0	0	0.27	0
ENSG00000225988	0	0.29	0	0.08	0.07	0	0.05	0.1	0.02
ENSG00000225990	0	0	0	0	0	0	0	0	0
ENSG00000225991	0.46	0.77	0	0	0	0.47	0.49	0.05	0
ENSG00000225992	0	0	0	0	0	0	0	0	0
ENSG00000225997	0	0	0	0	0	0	0	0	0
ENSG00000225999	0	0	0	0	0	0	0	0	0
ENSG00000226002	0.22	0	0.48	0.09	0.52	0.3	0.19	0	0.34
ENSG00000226003	0	0	0	0	0	0	0	0	0
ENSG00000226004	0	0	0	0	0	0	0	0	0
ENSG00000226005	0	0	0.19	0	0	0	0	0	0
ENSG00000226007	1.65	3.66	0	3.2	4.01	0.91	2.35	1.73	4.83
ENSG00000226008	0	0	0	0	0	0	2.33	0	0
ENSG00000226009	0	2.23	0.31	0.87	1.08	1.36	0.89	0.25	1.32
ENSG00000226010	0	0	0	0.19	0	0.18	0	0	0
ENSG00000226011	0	0	0	0	0	0	0	0	0
ENSG00000226012	0	0	0	0	0	0	0	0	0
ENSG00000226013	0	0	0	0	0	0	0	0	0
ENSG00000226014	0	0	0	0	0	0	0	0	0
ENSG00000226015	0.66	1.78	0.53	1.3	0.5	1.6	1.9	0.62	2.33
ENSG00000226016	0	0	0	0	0	0	0	0	0
ENSG00000226017	0	0.34	0.05	0.02	0.11	0	0.04	0.02	0
ENSG00000226020	0	0	0	0	0	0	0	0	0
ENSG00000226022	0	0	0	0	0	0	0	0	0
ENSG00000226023	0	0	0	0	0	0	0	0	0
ENSG00000226024	0	0	0.66	0	0	0	0	0.18	0.23
ENSG00000226025	0	0	0	0	0	0	0	0	0
ENSG00000226026	0.49	0	0	0.12	0	0.31	0.16	0.27	0
ENSG00000226028	0	0	0	0	0	0	0	0	0
ENSG00000226029	3.86	4.25	3.18	4.67	5.33	7.38	5.97	0.37	7.57
ENSG00000226030	0	0	0	0	0	0	0	0	0
ENSG00000226031	0.81	0.7	1.4	1.17	0.77	0.39	0.98	0.34	0.22
ENSG00000226032	0	0	0	0	0	0	0	0	0
ENSG00000226034	0	0	0	0	0	0	0	0	0
ENSG00000226036	0	0	0	0	0.35	0	0	0	0
ENSG00000226037	0	0	0.21	0	0	0	0	0	0
ENSG00000226038	0	0	0	0	0	0.36	0	0	0
ENSG00000226040	0.25	0	0	1.16	0.61	0.67	0	0	0.39
ENSG00000226041	0	0	0	0	0	0	0	0	0
ENSG00000226042	0	0	0	0	0	0	0	0	0
ENSG00000226043	0	0	0	0	0	0	0	0	0
ENSG00000226045	0	0	0	0	0	0.53	0.35	0.27	0
ENSG00000226046	0	0	0	0.16	0	0	0	0	0.29
ENSG00000226047	0	0	0	0	0	0	0	0	0
ENSG00000226048	0	0	0.14	0	0	0	0	0	0
ENSG00000226049	0.89	0	0.78	0.73	0.44	0.62	0.87	0.74	0.62
ENSG00000226051	0	0	0	0	0	0	0.06	0	0
ENSG00000226053	0.05	0.19	0.11	0.08	0.42	0	0.09	0.16	0.06
ENSG00000226054	4.56	3.59	4.27	5.46	2.46	4.75	2.6	2.26	2.03
ENSG00000226055	0.57	0.35	1.16	1.12	0.23	1.44	0.94	0.53	1.62
ENSG00000226056	0	0.12	0	0.08	0	0	0	0	0.04
ENSG00000226057	0	0	0.04	0	0	0	0	0.01	0
ENSG00000226058	0	0	0	0	0	0	0	0	0
ENSG00000226059	0	0.29	0	0	0	0	0	0	0
ENSG00000226061	0	0	0	0	0	0	0	0	0
ENSG00000226063	0	0	0	0	0	0	0	0	0
ENSG00000226064	0	0	0	0	0	0	0	0	0
ENSG00000226065	0	0.1	0	0	0	0	0.07	0.13	0
ENSG00000226066	0	0	0	0	0	0	0	0	0
ENSG00000226067	4.12	4.12	0.51	6	4.33	1.71	2.96	1.99	0.67
ENSG00000226068	0	0	0	0	0	0	0.14	0.16	0.06
ENSG00000226070	0	0	0	0.06	0	0	0.13	0	0.11
ENSG00000226072	0	0	0	0	0	0	0	0.06	0
ENSG00000226074	0	0	0	0.04	0	0	0	0	0
ENSG00000226075	0	0	0	0	0	0	0	0	0
ENSG00000226078	0	0	0	0	0	0	0	0	0
ENSG00000226079	0	0	0	0	0	0	0	0	0
ENSG00000226080	0	0	0	0	0	0	0	0	0
ENSG00000226081	0.15	0	0.31	0	0	0	0.03	0.05	0
ENSG00000226082	0	0	0	0	0	0	0	0	0
ENSG00000226083	0	0	0	0.03	0	0.05	0	0	0
ENSG00000226084	5.19	4.62	11.31	4.72	7.55	10.79	6.23	6.64	8.73
ENSG00000226085	14.43	4.58	10.41	4.68	7.74	9.17	7.75	10.01	5.17
ENSG00000226086	0.17	0.13	0	0.15	0	0	0.39	0.27	0
ENSG00000226087	0	0	0	0.37	0.28	0	0	0.16	0
ENSG00000226088	1.1	0	0	0.37	0	0	0.6	0	0.09
ENSG00000226089	0	0	0	0	0	0	0	0	0
ENSG00000226091	0.67	1.03	0.44	1.75	1.61	0.86	0.14	0.4	1.44
ENSG00000226092	0	0	0	0	0	0	0	0	0
ENSG00000226093	0	0	0	0	0	0	0	0	0
ENSG00000226094	0	0	0	0	0	0	0	0	0
ENSG00000226096	0	0	0	0	0	0	0	0	0
ENSG00000226097	0	0	0	0	0	0	0	0.04	0
ENSG00000226098	0.27	0	0	0.11	0	0	0.24	0	0.21
ENSG00000226101	1.51	0.4	0.9	0.98	0.59	0.52	0.24	0.11	0.84
ENSG00000226102	0.41	1.28	0	0.09	0	0	0.37	0	0
ENSG00000226107	0.54	2.03	0.61	2.78	1.98	0.75	0.98	0.19	0.64
ENSG00000226108	0	0	0	0	0	0	0	0	0
ENSG00000226110	0	0	0	0	0	0	0	0	0
ENSG00000226112	0	0	0	0	0	0	1.07	0.42	0
ENSG00000226113	0	0	0	0.02	0	0	0	0	0.28
ENSG00000226114	0	0	0	0.17	0	0	0	0	0
ENSG00000226115	0	0	0	0	0	0	0	0	0
ENSG00000226116	0	0	0	0	0	0	0	0	0
ENSG00000226117	0	0	0	0	0	0	0	0	0
ENSG00000226118	0	0	0	0	0	0	0	0	0
ENSG00000226119	0	0	0	0	0	0	0	0	0
ENSG00000226121	0.75	0.27	0.4	0.43	0.36	0.57	0.66	0.66	0.8
ENSG00000226122	0	0	0	0	0	0	0	0	0
ENSG00000226124	0.72	0.35	0.19	0.73	0.07	0.58	0.1	0.12	0
ENSG00000226125	0.13	0	0	0.02	0	0	0.04	0.01	0
ENSG00000226126	0	0	0	0	0	0	0	0	0
ENSG00000226128	0	0	0	0	0	0	0	0	0
ENSG00000226130	0	0	0	0	0	0	0	0	0
ENSG00000226131	0	0.33	0.29	0	0	0	0	0	0
ENSG00000226132	0	0	0	0	0	0	0	0	0
ENSG00000226133	0	0	0	0.06	0	0	0	0	0
ENSG00000226134	0	0	0	0	0	0	0	0	0
ENSG00000226137	16.35	10.82	12.78	13.12	16.91	15.82	21.67	18.43	12.73
ENSG00000226138	0	0	0	0.17	0.49	0	0.36	0.14	0
ENSG00000226140	0	0	0	0	0	0	0	0	0
ENSG00000226141	0.48	0.73	0.69	0.46	0	0	0	0.2	0.2
ENSG00000226142	0	0	0	0	0	0	0	0	0
ENSG00000226143	8.66	11.76	4.78	8.7	6.43	8.98	5.04	0.14	11.83
ENSG00000226144	0	0	0	0.25	0	0	0	0.21	0.12
ENSG00000226145	0	0	0	0	0	0	0	0	0
ENSG00000226147	0.1	0	0	0.08	0	0	0.09	0.11	0
ENSG00000226148	0	0	0	0.32	0	0	0	0.08	0.04
ENSG00000226149	0	0	0.19	0.07	0	0	0.43	0	0
ENSG00000226153	0	0	0.91	1.04	0	0	0	0	1.93
ENSG00000226155	0.67	0.78	0.24	0	0	0.55	0	0	0.44
ENSG00000226156	0	0	0	0	0	0	0	0	0
ENSG00000226157	0	0	0	0	0	0	0	0	0
ENSG00000226158	0	1.62	0	0.14	1.97	1.35	0.29	0.11	0.13
ENSG00000226159	0	0	0	0	0	0	0	0	0
ENSG00000226160	0	48.61	54.03	21.89	0	86.64	40.28	0	82.18
ENSG00000226161	0	0.13	0	0.09	0.26	0.15	0.1	0	0
ENSG00000226163	0	0	0	0	0	0	0	0	0
ENSG00000226164	0	0	0	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0	0	0	0
ENSG00000226167	3.53	2.51	1.47	2.61	2.23	3.9	1.68	0.09	4.37
ENSG00000226168	0	0	0	0	0	0	0	0.13	0
ENSG00000226169	0	0	0	0	0	0	0	0	0
ENSG00000226172	0	0	0	0	0	0	0	0	0
ENSG00000226174	3.34	1.87	0.67	1.46	1.88	0.65	4.55	1.72	1.39
ENSG00000226179	13.31	29.66	13.08	11.3	13.5	22.88	8.29	2.46	13.07
ENSG00000226180	1.18	2.31	1.78	1.94	1.84	1.4	1.44	0.85	1.51
ENSG00000226181	0	0	0	0	0	0	0	0	0
ENSG00000226183	0	0	0	0	0	0	0	0	0
ENSG00000226185	0	0	0	0	0	0	0	0	0
ENSG00000226186	0.44	0	0	0.37	0	0	1.18	0.31	0.52
ENSG00000226188	0	0	0	0	0	0	0	0	0
